"","rank","title","Previous.Rank","Revenues...M.","Revenue.Change","Profits...M.","Profit.Change","Assets...M.","Mkt.Value.as.of.3.29.18...M.","Employees","CEO","CEO.Title","Sector","Industry","Years.on.Fortune.500.List","City","State","Latitude","Longitude","CEO.gender","ticker"
"120",120,"Macys","110","$24,837 ","-3.70%","$1,547.00 ","149.90%","$19,381 ","$9,065 ","130,000","Jeffrey Gennette","Chairman &  Chief Executive Officer","Retailing","General Merchandisers","24","Cincinnati","OH",39.1031182,-84.5120196,"male","MAYS"
"121",121,"US Foods Holding","124","$24,147 ","5.40%","$444.30 ","111.80%","$9,037 ","$7,065 ","25,204","Pietro Satriano","Chairman, President &  Chief Executive Officer","Wholesalers","Wholesalers: Food and Grocery","7","Rosemont","IL",41.9867507,-87.8721602,"male","USFD"
"122",122,"U.S. Bancorp","125","$23,996 ","5.50%","$6,218.00 ","5.60%","$462,040 ","$83,367 ","72,402","Andrew Cecere","President, Chief Executive Officer &  Director","Financials","Commercial Banks","20","Minneapolis","MN",44.977753,-93.2650108,"male","USB"
"123",123,"Dollar General","128","$23,471 ","6.80%","$1,539.00 ","23.00%","$12,517 ","$25,141 ","129,000","Todd Vasos","Chairman &  Chief Executive Officer","Retailing","Specialty Retailers: Other","20","Goodlettsville","TN",36.3231066,-86.7133302,"male","DG"
"124",124,"International Paper","133","$23,302 ","10.50%","$2,144.00 ","137.20%","$33,903 ","$22,063 ","56,000","Mark Sutton","Chairman &  Chief Executive Officer","Materials","Packaging, Containers","24","Memphis","TN",35.1495343,-90.0489801,"male","IP"
"125",125,"Duke Energy","121","$23,189 ","-0.80%","$3,059.00 ","42.10%","$137,914 ","$54,276 ","29,060","Lynn Good","Chairman, President &  Chief Executive Officer","Energy","Utilities: Gas and Electric","24","Charlotte","NC",35.2270869,-80.8431267,"female","CHK"
"126",126,"Southern","145","$23,031 ","15.80%","$842.00 ","-65.60%","$111,005 ","$45,024 ","31,344","Thomas Fanning","Chairman, President &  Chief Executive Officer","Energy","Utilities: Gas and Electric","24","Atlanta","GA",33.7489954,-84.3879824,"male","SCE-PB"
"127",127,"Marriott International","163","$22,894 ","34.10%","$1,372.00 ","75.90%","$23,948 ","$48,531 ","177,000","Arne Sorenson","President, Chief Executive Officer &  Director","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts","20","Bethesda","MD",38.984652,-77.0947092,"male","MAR"
"128",128,"Avnet","108","$22,872 ","-12.80%","$525.30 ","3.70%","$9,700 ","$5,009 ","15,700","William Amelio","Chief Executive Officer &  Director","Wholesalers","Wholesalers: Electronics and Office Equipment","24","Phoenix","AZ",33.4483771,-112.0740373,"male","AVT"
"129",129,"Eli Lilly","132","$22,871 ","7.80%","($204.10)","-107.50%","$44,981 ","$84,542 ","40,655","David Ricks","Chairman, President &  Chief Executive Officer","Health Care","Pharmaceuticals","24","Indianapolis","IN",39.768403,-86.158068,"male","LLY"
"130",130,"Amgen","123","$22,849 ","-0.60%","$1,979.00 ","-74.40%","$79,954 ","$122,842 ","20,800","Robert Bradway","Chairman, President &  Chief Executive Officer","Health Care","Pharmaceuticals","19","Thousand Oaks","CA",34.1705609,-118.8375937,"male","AGEN"
"131",131,"McDonalds","112","$22,820 ","-7.30%","$5,192.30 ","10.80%","$33,804 ","$124,244 ","235,000","Stephen Easterbrook","President, Chief Executive Officer &  Director","Hotels, Restaurants &  Leisure","Food Services","24","Oak Brook","IL",41.8397865,-87.9535534,"male","MCD"
"132",132,"Starbucks","131","$22,387 ","5.00%","$2,884.70 ","2.40%","$14,366 ","$81,370 ","277,000","Keven Johnson","President, Chief Executive Officer &  Director","Hotels, Restaurants &  Leisure","Food Services","16","Seattle","WA",47.6062095,-122.3320708,"male","SBUX"
"133",133,"Qualcomm","119","$22,291 ","-5.40%","$2,466.00 ","-56.80%","$65,486 ","$82,027 ","33,800","Steven Mollenkopf","Chairman &  Chief Executive Officer","Technology","Semiconductors and Other Electronic Components","19","San Diego","CA",32.715738,-117.1610838,"male",NA
"134",134,"Dollar Tree","136","$22,246 ","7.40%","$1,714.30 ","91.30%","$16,333 ","$22,523 ","116,200","Gary Philbin","President, Chief Executive Officer &  Director","Retailing","Specialty Retailers: Other","10","Chesapeake","VA",36.7682088,-76.2874927,"male","DLTR"
