"","rank","title","Previous.Rank","Revenues...M.","Revenue.Change","Profits...M.","Profit.Change","Assets...M.","Mkt.Value.as.of.3.29.18...M.","Employees","CEO","CEO.Title","Sector","Industry","Years.on.Fortune.500.List","City","State","Latitude","Longitude","CEO.gender","ticker"
"532",532,"YRC Worldwide","534","$4,891 ","4.10%","($10.80)","-150.20%","$1,586 ","$299 ","32,000","Darren Hawkins","Chief Executive Officer","Transportation","Trucking, Truck Leasing","-","Overland Park","KS",38.9822282,-94.6707917,"male","YRCW"
"533",533,"Mattel","474","$4,882 ","-10.50%","($1,053.80)","-431.40%","$6,239 ","$4,523 ","28,000","Ynon Kreiz","Chief Executive Officer","Household Products","Toys, Sporting Goods","-","El Segundo","CA",33.9191799,-118.4164652,NA,"MAT"
"534",534,"FM Global","557","$4,875 ","11.50%","$254.10 ","-68.10%","$23,247 ","-","5,441","Thomas Lawson","Chairman, President &  Chief Executive Officer","Financials","Insurance: Property and Casualty (Stock)","-","Johnston","RI",41.8205199,-71.512617,"male","GHY"
"535",535,"NiSource","545","$4,875 ","8.50%","$128.50 ","-61.20%","$19,962 ","$8,068 ","8,175","Joseph Hamrock","President, Chief Executive Officer &  Director","Energy","Utilities: Gas and Electric","-","Merrillville","IN",41.4828144,-87.3328139,"male","NI"
"536",536,"Caesars Entertainment","541","$4,852 ","6.50%","($375.00)","-","$25,512 ","$7,838 ","65,000","Mark Frissora","President, Chief Executive Officer &  Director","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts","-","Las Vegas","NV",36.1699412,-115.1398296,"male","CZR"
"537",537,"Electronic Arts","556","$4,845 ","10.20%","$967.00 ","-16.30%","$7,718 ","$37,188 ","8,800","Andrew Wilson","Chief Executive Officer &  Director","Technology","Entertainment","-","Redwood City","CA",37.4852152,-122.2363548,"male","EA"
"538",538,"Dynegy","561","$4,842 ","12.10%","$76.00 ","-","$11,771 ","$1,952 ","2,489","Curtis Morgan","CEO-Vistra Energy","Energy","Energy","-","Houston","TX",29.7604267,-95.3698028,"male",NA
"539",539,"McCormick","553","$4,834 ","9.60%","$477.40 ","1.10%","$10,386 ","$13,964 ","11,700","Lawrence Kurzius","Chairman, President &  Chief Executive Officer","Food, Beverages &  Tobacco","Food Consumer Products","-","Sparks Glencoe","MD",39.5309389,-76.6458043,"male","MKC"
"540",540,"T. Rowe Price","573","$4,793 ","13.50%","$1,497.80 ","23.30%","$7,535 ","$26,409 ","6,881","William Stromberg","President, Chief Executive Officer &  Director","Financials","Securities","-","Baltimore","MD",39.2903848,-76.6121893,"male","TROW"
"541",541,"Orbital ATK","549","$4,764 ","6.90%","$310.00 ","5.80%","$5,666 ","$7,665 ","13,900","Blake Larson","President, Chief Executive Officer &  Director","Aerospace &  Defense","Aerospace and Defense","-","Sterling","VA",38.9624899,-77.4380485,"male",NA
"542",542,"Tutor Perini","513","$4,757 ","-4.30%","$148.40 ","54.90%","$4,264 ","$1,098 ","10,061","Ronald Tutor","Chairman &  Chief Executive Officer","Engineering &  Construction","Engineering, Construction","-","Los Angeles","CA",34.3058279,-118.4571974,"male","TPC"
"543",543,"Brookdale Senior Living","512","$4,747 ","-4.60%","($571.40)","-","$7,675 ","$1,252 ","62,550","Lucinda Baier","President, Chief Executive Officer &  Director","Health Care","Health Care: Medical Facilities","-","Brentwood","TN",36.0331164,-86.7827772,"female","BKD"
"544",544,"Huntington Bancshares","610","$4,740 ","25.30%","$1,186.00 ","66.60%","$104,185 ","$16,209 ","15,770","Stephen Steinour","Chairman, President &  Chief Executive Officer","Financials","Commercial Banks","-","Columbus","OH",39.9611755,-82.9987942,"male","HBAN"
"545",545,"Wayfair","666","$4,721 ","39.70%","($244.60)","-","$1,213 ","$5,977 ","7,751","Niraj Shah","Co-Chairman, President &  Chief Executive Officer","Technology","Internet Services and Retailing","-","Boston","MA",42.3600825,-71.0588801,"male","W"
"546",546,"Rush Enterprises","575","$4,714 ","11.80%","$172.10 ","324.20%","$2,890 ","$1,609 ","6,825","Rush","Chairman, President &  Chief Executive Officer","Retailing","Automotive Retailing, Services","-","New Braunfels","TX",29.7030024,-98.1244531,"male","RUSHA"
"547",547,"Xylem","611","$4,707 ","24.80%","$331.00 ","27.30%","$6,860 ","$13,839 ","16,200","Patrick Decker","President, Chief Executive Officer &  Director","Industrials","Industrial Machinery","-","Rye Brook","NY",41.0192641,-73.6834621,"male","XYL"
"548",548,"Neiman Marcus Group","515","$4,706 ","-4.90%","($531.80)","-","$7,704 ","-","13,700","Geoffroy van Raemdonck","Chairman &  Chief Executive Officer","Retailing","Specialty Retailers: Apparel","-","Dallas","TX",32.7766642,-96.7969879,NA,NA
"549",549,"Hyatt Hotels","552","$4,685 ","5.80%","$249.00 ","22.10%","$7,672 ","$9,054 ","45,000","Mark Hoplamazian","President, Chief Executive Officer &  Director","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts","-","Chicago","IL",41.8781136,-87.6297982,"male","H"
"550",550,"Sprouts Farmers Market","585","$4,665 ","15.30%","$158.40 ","27.50%","$1,582 ","$3,122 ","27,000","Amin Maredia","Chairman &  Chief Executive Officer","Food &  Drug Stores","Food and Drug Stores","-","Phoenix","AZ",33.4483771,-112.0740373,"male","SFM"
"551",551,"Diebold Nixdorf","672","$4,609 ","38.00%","($233.10)","-","$5,250 ","$1,170 ","23,000","Gerrard Schmid","President, Chief Executive Officer &  Director","Technology","Computers, Office Equipment","-","North Canton","OH",40.875891,-81.4023356,"male","DBD"
"552",552,"Roper Technologies","609","$4,608 ","21.60%","$971.80 ","47.50%","$14,316 ","$28,862 ","14,236","Brian Jellison","Chairman, President &  Chief Executive Officer","Technology","Scientific,Photographic and  Control Equipment","-","Sarasota","FL",27.3364347,-82.5306527,"male","OPTT"
"553",553,"Smart & Final Stores","559","$4,571 ","5.30%","($138.90)","-1172.90%","$1,810 ","$412 ","7,570","David Hirz","President, Chief Executive Officer &  Director","Food &  Drug Stores","Food and Drug Stores","-","Commerce","CA",34.0005691,-118.1597929,"male","GRID"
"554",554,"CommScope Holding","518","$4,561 ","-7.40%","$193.80 ","-13.00%","$7,042 ","$7,670 ","20,000","Marvin Edwards Jr","President, Chief Executive Officer &  Director","Technology","Network and Other Communications Equipment","-","Newton","NC",35.7344538,-81.3444573,"male","COMM"
"555",555,"Tapestry","546","$4,488.30 ","-0.10%","$591.00 ","28.30%","$5,831.60 ","$14,988 ","12450","Victor Luis","Chairman &  Chief Executive Officer","Apparel","Apparel","-","New York City","NY",40.7127753,-74.0059728,"male","TPR"
"556",556,"Diplomat Pharmacy","554","$4,485 ","1.70%","$15.50 ","-45.10%","$1,940 ","$1,493 ","2,298","Brian Griffin","Interim Chief Executive Officer &  Director","Health Care","Health Care: Pharmacy and Other Services","-","Flint","MI",43.0125274,-83.6874562,"male","DPLO"
"557",557,"Chipotle Mexican Grill","599","$4,476 ","14.70%","$176.30 ","668.40%","$2,046 ","$9,025 ","68,890","Brian Niccol","Chairman &  Chief Executive Officer","Hotels, Restaurants &  Leisure","Food Services","-","Denver","CO",39.7392358,-104.990251,"male","CMG"
"558",558,"Agilent Technologies","576","$4,472 ","6.40%","$684.00 ","48.10%","$8,426 ","$21,574 ","13,500","Michael McMullen","President, Chief Executive Officer &  Director","Technology","Scientific,Photographic and  Control Equipment","-","Santa Clara","CA",37.3541079,-121.9552356,"male","A"
"559",559,"Science Applications International","551","$4,454 ","0.30%","$179.00 ","25.20%","$2,073 ","$3,332 ","15,391","Anthony Moraco","Chairman &  Chief Executive Officer","Technology","Information Technology Services","-","Reston","VA",38.9586307,-77.3570028,"male",NA
"560",560,"MDU Resources Group","569","$4,444 ","4.50%","$281.20 ","336.40%","$6,335 ","$5,500 ","10,140","David Goodin","President, Chief Executive Officer &  Director","Energy","Energy","-","Bismarck","ND",46.8083268,-100.7837392,"male","MDU"
"561",561,"Select Medical Holdings","563","$4,444 ","3.70%","$177.20 ","53.50%","$5,127 ","$2,313 ","36,050","David Chernow","President, Chief Executive Officer &  Director","Health Care","Health Care: Medical Facilities","-","Mechanicsburg","PA",40.2142565,-77.0085876,"male","SEM"
"562",562,"Boise Cascade","597","$4,432 ","13.30%","$83.00 ","116.90%","$1,607 ","$1,500 ","6,370","Thomas Corrick","Chairman &  Chief Executive Officer","Wholesalers","Wholesalers: Diversified","-","Boise","ID",43.6150186,-116.2023137,"male","BCC"
"563",563,"National General Holdings","643","$4,431 ","24.70%","$105.80 ","-39.80%","$8,440 ","$2,598 ","7,570","Barry Karfunkel","President, Chief Executive Officer &  Director","Financials","Insurance: Property and Casualty (Stock)","-","New York","NY",40.7127753,-74.0059728,"male","NGHC"
"564",564,"SCANA","572","$4,407 ","4.30%","($119.00)","-120.00%","$18,739 ","$5,356 ","5,228","Jimmy Addison","President, Chief Executive Officer &  Director","Energy","Utilities: Gas and Electric","-","Cayce","SC",33.9657091,-81.0739827,"male","USNA"
"565",565,"Graphic Packaging Holding","562","$4,404 ","2.50%","$300.20 ","31.70%","$4,863 ","$4,754 ","13,000","Michael Doss","President, Chief Executive Officer &  Director","Materials","Packaging, Containers","-","Atlanta","GA",33.7489954,-84.3879824,"male","GPK"
"566",566,"Fastenal","591","$4,391 ","10.80%","$578.60 ","15.80%","$2,911 ","$15,703 ","20,565","Daniel Florness","President, Chief Executive Officer &  Director","Wholesalers","Wholesalers: Diversified","-","Winona","MN",44.0553908,-91.6663523,"male","FAST"
"567",567,"Schneider National","","$4,384 ","8.40%","$389.90 ","148.60%","$3,331 ","$4,610 ","19,600","Christopher Lofgren","President, Chief Executive Officer &  Director","Transportation","Trucking, Truck Leasing","-","Green Bay","WI",44.5133188,-88.0132958,"male","SNDR"
"568",568,"Laureate Education","571","$4,378 ","3.20%","$91.50 ","-75.40%","$7,392 ","$2,578 ","54,500","Eilif Serck-Hanssen","Chairman &  Chief Executive Officer","Business Services","Education","-","Baltimore","MD",39.2903848,-76.6121893,NA,"LAUR"
"569",569,"Beacon Roofing Supply","582","$4,377 ","6.00%","$100.90 ","12.20%","$3,450 ","$3,609 ","5,406","Paul Isabella","President, Chief Executive Officer &  Director","Wholesalers","Wholesalers: Diversified","-","Herndon","VA",38.9695545,-77.3860976,"male","BECN"
"570",570,"KB Home","634","$4,369 ","21.50%","$180.60 ","71.00%","$5,042 ","$2,468 ","1,915","Jeffrey Mezger","Chairman, President &  Chief Executive Officer","Engineering &  Construction","Homebuilders","-","Los Angeles","CA",34.0522342,-118.2436849,"male","KBH"
"571",571,"Equinix","624","$4,368 ","19.30%","$233.00 ","83.70%","$18,692 ","$33,128 ","7,273","Peter Van Camp","Chairman, President &  Interim Chief Executive Officer","Financials","Real estate","-","Redwood City","CA",37.4852152,-122.2363548,"male","EQIX"
"572",572,"Terex","445","$4,363 ","-25.30%","$128.70 ","-","$3,463 ","$3,030 ","10,700","John Garrison Jr","President, Chief Executive Officer &  Director","Industrials","Construction and Farm Machinery","-","Westport","CT",41.1414717,-73.3579049,"male","TEX"
"573",573,"Crown Castle International","596","$4,356 ","11.10%","$444.60 ","24.50%","$32,230 ","$45,452 ","4,500","Jay Brown","President, Chief Executive Officer &  Director","Financials","Real estate","-","Houston","TX",29.7604267,-95.3698028,"male","CCI"
"574",574,"CACI International","615","$4,355 ","16.30%","$163.70 ","14.60%","$3,911 ","$3,727 ","18,600","Kenneth Asbury","President, Chief Executive Officer &  Director","Technology","Information Technology Services","-","Arlington","VA",38.8816208,-77.0909809,"male","CACI"
"575",575,"Watsco","574","$4,342 ","2.90%","$208.20 ","13.90%","$2,047 ","$6,752 ","5,200","Albert Nahmad","Chairman &  Chief Executive Officer","Wholesalers","Wholesalers: Diversified","-","Miami","FL",25.7616798,-80.1917902,"male","WLTW"
"576",576,"Coca-Cola Bottling","701","$4,324 ","37.00%","$96.50 ","92.50%","$3,073 ","$1,615 ","15,500","Frank Harrison III","Chairman &  Chief Executive Officer","Food, Beverages &  Tobacco","Beverages","-","Charlotte","NC",35.2270869,-80.8431267,"male",NA
"577",577,"Welltower","564","$4,317 ","0.80%","$522.80 ","-51.50%","$27,944 ","$20,246 ","392","Thomas DeRosa","Chairman &  Chief Executive Officer","Financials","Real estate","-","Toledo","OH",41.6528052,-83.5378674,"male","WELL"
"578",578,"ADT","","$4,316 ","46.30%","$342.60 ","-","$17,015 ","$5,941 ","18,000","Timothy Whall","President, Chief Executive Officer &  Director","Business Services","Diversified Outsourcing Services","-","Boca Raton","FL",26.3683064,-80.1289321,"male","ACAD"
"579",579,"Ametek","604","$4,300 ","12.00%","$681.50 ","33.10%","$7,796 ","$17,590 ","16,900","David Zapico","Chairman &  Chief Executive Officer","Technology","Scientific,Photographic and  Control Equipment","-","Berwyn","PA",40.045824,-75.4395931,"male",NA
"580",580,"CNO Financial Group","590","$4,297 ","7.80%","$175.60 ","-51.00%","$33,110 ","$3,630 ","3,300","Gary Bhojwani","Chairman &  Chief Executive Officer","Financials","Insurance: Life, Health (stock)","-","Carmel","IN",39.978371,-86.1180435,"male","CBFV"
"581",581,"Camping World Holdings","648","$4,285 ","21.80%","$28.40 ","-85.20%","$2,562 ","$3,084 ","10,227","Marcus Lemonis","Chairman &  Chief Executive Officer","Retailing","Automotive Retailing, Services","-","Lincolnshire","IL",42.1900249,-87.9084039,"male","CWH"
"582",582,"LPL Financial Holdings","584","$4,282 ","5.70%","$238.90 ","24.50%","$5,359 ","$5,510 ","3,736","Dan Arnold","President, Chief Executive Officer &  Director","Financials","Securities","-","Boston","MA",42.3600825,-71.0588801,"male","LPLA"
"583",583,"Noble Energy","653","$4,256 ","21.90%","($1,118.00)","-","$21,476 ","$14,913 ","2,277","David Stover","Chairman, President &  Chief Executive Officer","Energy","Mining, Crude-Oil Production","-","Houston","TX",29.7604267,-95.3698028,"male","REGI"
"584",584,"Bloomin Brands","568","$4,213 ","-0.90%","$100.20 ","140.10%","$2,573 ","$2,256 ","94,000","Elizabeth Smith","Chairman, President &  Chief Executive Officer","Hotels, Restaurants &  Leisure","Food Services","-","Tampa","FL",27.950575,-82.4571776,"female","407"
"585",585,"Moodys","631","$4,204 ","16.60%","$1,000.60 ","275.30%","$8,594 ","$30,826 ","11,896","Raymond McDaniel Jr","President, Chief Executive Officer &  Director","Business Services","Financial Data Services","-","New York","NY",40.7127753,-74.0059728,"male","MCO"
"586",586,"Symantec","465","$4,191 ","-24.70%","($106.00)","-104.30%","$18,174 ","$16,067 ","13,000","Gregory Clark","Chairman &  Chief Executive Officer","Technology","Computer Software","-","Mountain View","CA",37.3860517,-122.0838511,"male","SYMC"
"587",587,"Amkor Technology","600","$4,187 ","7.50%","$260.70 ","58.80%","$4,522 ","$2,425 ","29,300","Stephen Kelley","President, Chief Executive Officer &  Director","Technology","Semiconductors and Other Electronic Components","-","Tempe","AZ",33.4255104,-111.9400054,"male","AMKR"
"588",588,"Skechers U.S.A.","638","$4,181 ","16.90%","$179.20 ","-26.40%","$2,735 ","$6,231 ","8,150","Robert Greenberg","Chairman &  Chief Executive Officer","Apparel","Apparel","-","Manhattan Beach","CA",33.8847361,-118.4109089,"male","SKX"
"589",589,"KBR","567","$4,171 ","-2.30%","$434.00 ","-","$3,674 ","$2,271 ","20,000","Stuart Bradie","President, Chief Executive Officer &  Director","Engineering &  Construction","Engineering, Construction","-","Houston","TX",29.7604267,-95.3698028,"male","DOOO"
"590",590,"Tiffany","588","$4,170 ","4.20%","$370.10 ","-17.00%","$5,468 ","$12,149 ","13,100","Alessandro Bogliolo","Chairman &  Chief Executive Officer","Retailing","Specialty Retailers: Other","-","New York","NY",40.7127753,-74.0059728,"male","TIF"
"591",591,"Torchmark","580","$4,156 ","0.00%","$1,454.50 ","164.60%","$23,475 ","$9,583 ","3,102","Gary Coleman/Larry Hutchison","Co-Chairman &  Co-Chief Executive Officer","Financials","Insurance: Life, Health (stock)","-","McKinney","TX",33.1972465,-96.6397822,"male","TMK"
"592",592,"Broadridge Financial Solutions","749","$4,143 ","43.00%","$326.80 ","6.30%","$3,150 ","$12,796 ","10,000","Richard Daly","Chairman &  Chief Executive Officer","Business Services","Financial Data Services","-","Lake Success","NY",40.7706572,-73.7176312,"male","BR"
"593",593,"Quad/Graphics","560","$4,131.40 ","-4.60%","$107.20 ","138.80%","$2,452.40 ","$1,336 ","21100","Joel Quadracci","Chairman, President &  Chief Executive Officer","Media","Publishing, Printing","-","Sussex","WI",43.13418,-88.22294,"male","QUAD"
"594",594,"CF Industries Holdings","622","$4,130 ","12.10%","$357.70 ","-","$13,463 ","$8,805 ","2,950","Anthony Will","President, Chief Executive Officer &  Director","Chemicals","Chemicals","-","Deerfield","IL",42.1711365,-87.8445119,"male","AIRI"
"595",595,"Carlisle","623","$4,090 ","11.30%","$365.50 ","46.10%","$5,300 ","$6,408 ","14,800","Christian Koch","President, Chief Executive Officer &  Director","Materials","Building Materials, Glass","-","Scottsdale","AZ",33.4941704,-111.9260519,"male","CSL"
"596",596,"Silgan Holdings","629","$4,090 ","13.20%","$269.70 ","75.80%","$4,645 ","$3,074 ","12,515","Anthony Allott","President, Chief Executive Officer &  Director","Materials","Packaging, Containers","-","Stamford","CT",41.0534302,-73.5387341,"male","SLGN"
"597",597,"Bemis","587","$4,046 ","1.00%","$94.00 ","-60.20%","$3,700 ","$4,002 ","16,582","William Austen","President, Chief Executive Officer &  Director","Materials","Packaging, Containers","-","Neenah","WI",44.1858193,-88.462609,"male","HEB"
"598",598,"CA","583","$4,036 ","-0.40%","$775.00 ","-1.00%","$12,610 ","$14,134 ","11,800","Michael Gregoire","Chairman &  Chief Executive Officer","Technology","Computer Software","-","New York","NY",40.7127753,-74.0059728,"male","AAMC"
"599",599,"Hub Group","640","$4,035 ","12.90%","$135.20 ","80.70%","$1,671 ","$1,439 ","4,377","David Yeager","Chairman &  Chief Executive Officer","Transportation","Transportation and Logistics","-","Oak Brook","IL",41.8397865,-87.9535534,"male","HUBG"
"600",600,"Worldpay","637","$4,027 ","12.50%","$130.10 ","-39.00%","$8,667 ","$25,915 ","3,560","Charles Drucker/Philip ER Jansen","Chairman &  Co-Chief Executive Officer","Business Services","Financial Data Services","-","Cincinnati","OH",39.2807348,-84.3173878,"male","WP"
"601",601,"Ingles Markets","608","$4,003 ","5.50%","$53.90 ","-0.60%","$1,733 ","$686 ","17,250","James Lanning","President, Chief Executive Officer &  Director","Food &  Drug Stores","Food and Drug Stores","-","Black Mountain","NC",35.6178951,-82.3212302,"male","IMKTA"
"602",602,"Snap-on","618","$4,000 ","7.80%","$557.70 ","2.10%","$5,249 ","$8,367 ","12,600","Nicholas Pinchuk","Chairman, President &  Chief Executive Officer","Industrials","Industrial Machinery","-","Kenosha","WI",42.5847425,-87.8211854,"male","SNA"
"603",603,"Dentsply Sirona","614","$3,993 ","6.60%","($1,550.00)","-460.50%","$10,375 ","$11,439 ","16,100","Donald Casey Jr","Chairman &  Chief Executive Officer","Health Care","Medical Products and Equipment","-","York","PA",39.9625984,-76.727745,"male",NA
"604",604,"Calumet Specialty Products","632","$3,992 ","10.90%","($103.80)","-","$2,689 ","$541 ","1,600","Timothy Go","Chief Executive Officer","Energy","Petroleum Refining","-","Indianapolis","IN",39.768403,-86.158068,"male","CLMT"
"605",605,"Global Payments","669","$3,975 ","17.90%","$468.40 ","132.20%","$12,998 ","$17,789 ","10,000","Jeffrey Sloan","Chairman &  Chief Executive Officer","Business Services","Financial Data Services","-","Atlanta","GA",33.7489954,-84.3879824,"male","GPN"
"606",606,"Encompass Health","619","$3,971.40 ","7.10%","$256.30 ","3.50%","$4,893.70 ","$5,611 ","30935","Mark Tarr","President, Chief Executive Officer &  Director","Health Care","Health Care: Medical Facilities","-","Birmingham","AL",33.5206608,-86.80249,"male","EHC"
"607",607,"Martin Marietta Materials","607","$3,966 ","3.80%","$713.30 ","67.70%","$8,993 ","$13,019 ","8,406","Howard Nye","Chairman, President &  Chief Executive Officer","Materials","Building Materials, Glass","-","Raleigh","NC",35.7795897,-78.6381787,"male","MLM"
"608",608,"Nasdaq","620","$3,965 ","7.00%","$734.00 ","579.60%","$15,786 ","$14,361 ","4,734","Adena Friedman","President, Chief Executive Officer &  Director","Financials","Securities","-","New York","NY",40.7127753,-74.0059728,"female","BCNA"
"609",609,"Leggett & Platt","613","$3,944 ","5.20%","$292.60 ","-24.20%","$3,551 ","$5,842 ","22,200","Karl Glassman","President, Chief Executive Officer &  Director","Household Products","Home Equipment, Furnishings","-","Carthage","MO",37.176447,-94.3102228,"male","LEG"
"610",610,"Universal Forest Products","687","$3,941 ","21.60%","$119.50 ","18.10%","$1,465 ","$1,986 ","10,000","Matthew Missad","Chairman &  Chief Executive Officer","Materials","Building Materials, Glass","-","Grand Rapids","MI",42.9633599,-85.6680863,"male","UFPI"
"611",611,"Sally Beauty Holdings","592","$3,938 ","-0.40%","$215.10 ","-3.50%","$2,123 ","$2,058 ","21,755","Christian Brickman","President, Chief Executive Officer &  Director","Retailing","Specialty Retailers: Other","-","Denton","TX",33.2148412,-97.1330683,"male","SBH"
"612",612,"Flowers Foods","594","$3,921 ","-0.20%","$150.10 ","-8.30%","$2,660 ","$4,604 ","9,800","Allen Shiver","President, Chief Executive Officer &  Director","Food, Beverages &  Tobacco","Food Consumer Products","-","Thomasville","GA",30.8365815,-83.9787808,"male","FLO"
"613",613,"Barnes & Noble","555","$3,895 ","-11.50%","$22.00 ","-","$1,933 ","$360 ","18,592","Demos Parneros","Chief Executive Officer &  Director","Retailing","Specialty Retailers: Other","-","New York","NY",40.7127753,-74.0059728,NA,"B"
"614",614,"American Equity Investment Life","883","$3,892 ","75.30%","$174.60 ","109.80%","$62,031 ","$2,639 ","515","John Matovina","Chairman, President &  Chief Executive Officer","Financials","Insurance: Life, Health (stock)","-","West Des Moines","IA",41.5772115,-93.711332,"male","AEL"
"615",615,"Vulcan Materials","635","$3,890 ","8.30%","$601.20 ","43.30%","$9,505 ","$15,110 ","8,287","Thomas Hill","Chairman, President &  Chief Executive Officer","Materials","Building Materials, Glass","-","Birmingham","AL",33.5206608,-86.80249,"male","VMC"
"616",616,"Taylor Morrison Home","644","$3,885 ","9.40%","$91.20 ","73.40%","$4,326 ","$2,610 ","1,800","Sheryl Palmer","Chairman, President &  Chief Executive Officer","Engineering &  Construction","Homebuilders","-","Scottsdale","AZ",33.4941704,-111.9260519,"female","TMHC"
"617",617,"Westinghouse Air Brake","742","$3,882 ","32.40%","$262.30 ","-14.00%","$6,580 ","$7,822 ","18,000","Raymond Betler","President, Chief Executive Officer &  Director","Industrials","Industrial Machinery","-","Wilmerding","PA",40.3909023,-79.8100472,"male","WAB"
"618",618,"Crestwood Equity Partners","805","$3,881 ","54.00%","($191.90)","-","$4,285 ","$1,824 ","954","Robert Phillips","Chairman, President &  Chief Executive Officer","Energy","Energy","-","Houston","TX",29.7604267,-95.3698028,"male","CEQP"
"619",619,"Iron Mountain","649","$3,846 ","9.10%","$183.80 ","75.40%","$10,972 ","$9,375 ","24,000","William Meaney","President, Chief Executive Officer &  Director","Business Services","Diversified Outsourcing Services","-","Boston","MA",42.3600825,-71.0588801,"male","IRM"
"620",620,"Lennox International","627","$3,840 ","5.40%","$305.70 ","10.00%","$1,892 ","$8,415 ","11,450","Todd Bluedorn","Chairman &  Chief Executive Officer","Industrials","Industrial Machinery","-","Richardson","TX",32.9483335,-96.7298519,"male","LII"
"621",621,"General Cable","603","$3,837 ","-0.50%","($56.60)","-","$2,235 ","$1,499 ","8,500","Massimo Battaini","President, Chief Executive Officer &  Director","Industrials","Electronics, Electrical Equip.","-","Highland Heights","KY",39.0331169,-84.4518854,"male",NA
"622",622,"American Eagle Outfitters","630","$3,796 ","5.10%","$204.20 ","-3.90%","$1,816 ","$3,540 ","24,100","Jay Schottenstein","Chairman &  Chief Executive Officer","Retailing","Specialty Retailers: Apparel","-","Pittsburgh","PA",40.4406248,-79.9958864,"male","AETI"
"623",623,"Church & Dwight","652","$3,776 ","8.10%","$743.40 ","62.00%","$6,015 ","$12,294 ","4,700","Matthew Farrell","President, Chief Executive Officer &  Director","Household Products","Household and Personal Products","-","Ewing Township","NJ",40.2599864,-74.7909125,"male","CHD"
"624",624,"Platform Specialty Products","636","$3,776 ","5.30%","($296.20)","-","$10,252 ","$2,774 ","7,850","Rakesh Sachdev","Chief Executive Officer &  Director","Chemicals","Chemicals","-","West Palm Beach","FL",26.7153424,-80.0533746,"male",NA
"625",625,"JELD-WEN Holding","","$3,764 ","2.40%","$10.80 ","-97.10%","$2,863 ","$3,257 ","21,000","Gary Michel","Chairman &  Interim Chief Executive Officer","Materials","Building Materials, Glass","-","Charlotte","NC",35.2270869,-80.8431267,"male","JELD"
"626",626,"OneMain Holdings","602","$3,756 ","-3.30%","$183.00 ","-14.90%","$19,433 ","$4,062 ","10,100","Jay Levine","President, Chief Executive Officer &  Director","Financials","Diversified Financials","-","Evansville","IN",37.9715592,-87.5710898,"male","OMF"
"627",627,"Colfax","626","$3,737 ","2.50%","$151.10 ","17.90%","$6,710 ","$3,934 ","14,300","Matthew Trerotola","President, Chief Executive Officer &  Director","Industrials","Industrial Machinery","-","Annapolis Junction","MD",39.1202934,-76.7769324,"male","CFX"
"628",628,"Zebra Technologies","639","$3,722 ","4.10%","$17.00 ","-","$4,275 ","$7,412 ","7,000","Anders Gustafsson","Chairman &  Chief Executive Officer","Industrials","Electronics, Electrical Equip.","-","Lincolnshire","IL",42.1900249,-87.9084039,"male","ZBRA"
"629",629,"Andersons","595","$3,686 ","-6.10%","$42.50 ","266.70%","$2,162 ","$943 ","1,819","Patrick Bowe","President, Chief Executive Officer &  Director","Food, Beverages &  Tobacco","Food Production","-","Maumee","OH",41.5628294,-83.6538244,"male","ANDE"
"630",630,"TD Ameritrade Holding","674","$3,685 ","10.50%","$872.00 ","3.60%","$38,627 ","$33,605 ","10,412","Timothy Hockey","President, Chief Executive Officer &  Director","Financials","Securities","-","Omaha","NE",41.2565369,-95.9345034,"male","AMTD"
"631",631,"Carlyle Group","869","$3,676 ","61.60%","$244.10 ","3714.10%","$12,281 ","$2,145 ","1,600","Kewsong Lee/Glenn Youngkin","Co-Chief Executive Officer &  Director","Financials","Securities","-","Leavenworth","WA",47.7510741,-120.7401385,NA,"CG"
"632",632,"Hubbell","650","$3,669 ","4.70%","$243.10 ","-17.00%","$3,721 ","$6,678 ","17,700","David Nord","Chairman, President &  Chief Executive Officer","Industrials","Electronics, Electrical Equip.","-","Shelton","CT",41.3164856,-73.0931641,"male","HUBB"
"633",633,"Trinity Industries","539","$3,663 ","-20.20%","$702.50 ","104.50%","$9,543 ","$4,921 ","15,605","Timothy Wallace","Chairman, President &  Chief Executive Officer","Transportation","Transportation Equipment","-","Dallas","TX",32.7766642,-96.7969879,"male","TRN"
"634",634,"Darling Ingredients","665","$3,662 ","7.80%","$128.50 ","25.60%","$4,958 ","$2,848 ","9,800","Randall Stuewe","Chairman &  Chief Executive Officer","Food, Beverages &  Tobacco","Food Production","-","Irving","TX",32.8140177,-96.9488945,"male","DAR"
"635",635,"Flowserve","589","$3,661 ","-8.30%","$2.70 ","-98.00%","$4,911 ","$5,668 ","17,000","Scott Rowe","President, Chief Executive Officer &  Director","Industrials","Industrial Machinery","-","Irving","TX",32.8140177,-96.9488945,"male","FLS"
"636",636,"Antero Resources","","$3,656 ","109.50%","$615.10 ","-","$15,262 ","$6,283 ","593","Paul Rady","Chairman &  Chief Executive Officer","Energy","Mining, Crude-Oil Production","-","Denver","CO",39.7392358,-104.990251,"male","AR"
"637",637,"Skyworks Solutions","680","$3,651 ","11.00%","$1,010.20 ","1.50%","$4,574 ","$18,264 ","8,400","Liam Griffin","President, Chief Executive Officer &  Director","Technology","Semiconductors and Other Electronic Components","-","Woburn","MA",42.4792618,-71.1522765,"male","SWKS"
